CIL IV #,Reggio,Insula,Entrance,found?,In English,org. ,Literacy (1-3),In org. language,Context type specific,Context type general,Famous House,Category,Written by,Work,Meter,Repetition,Foreign language,Image ,Flohr Score,Socio-economic status,comments
8426,2,1,,,"By the holy gods of the house, I ask you to…",?,3,(per) lares sanctos rogo te vt,altar,,,Religious,,,,,,,,low,
10256c,2,1,11,,UXBUCTDSERFOGPHOFMKNL,?,2,VXBVCTDSERFOGPHOFMKNL,column,unit,,Civic,,,,,,,23.77,medium,
10093c,2,1,10,,Brutus is a dog,?,2,Brv(t)vs canis est,entrance,house,,Insult/Threat,,,,,,,8.74,low,
10086a,2,1,10,,Of arms and a man…,?,3,Arma virvmqve,entrance,house,,Reference,Virgil,Aeneid,"Metrical, quote",,,,8.74,low,
10082b,2,1,10,,"Saggita, the emperor's slave, the little Pompeian",Benefiel 2010a,2,Sagitta imperatoris servos pompeianolvs,entrance,house,,Tagging,,,,,,,8.74,low,
10079,2,1,6,,Maximus (greets) his Irene,?,2,Maxim(vs) irenae sve,façade,tabernae,,Social,,,,,,,3.37,low,
8480,2,1,4/5/,,Arrunitis was here with Tiburtinus,?,3,Arrvntivs hic fvit cvm tibvrtino,façade,tabernae,,Sexual,,,,,,,3.44-4.52,low,
10088b,2,1,10,,It's raining,?,2,Plvi,garden,house,,Civic,,,,,,,8.74,low,
10090,2,1,10,,"Petronius, you fuck Pyramus",?,2,ΠΕΤΡΩΝΙ ΠΥΡΑΜΟ ΠΗΔΙΚΑΣ,garden,house,,Sexual,,,,,,,8.74,low,
10096b,2,1,11,,All fell silent…,Milnor 2009 314,3,Conticvre om(nes),outer wall,unit,,Reference,Virgil,Aeneid,"Metrical, quote",,,,23.77,medium,
10095b,2,1,11,,If someone is loved…,?,2,Sei qvis amatvr,outer wall,unit,,Romantic,,,,,,,23.77,medium,
10078,2,1,3,,"Supremus, faggot: 4 a(sses). Bye, pussy!",?,2,Svpreme c(inaede) a IIII salve connv,room,house,,Sexual,,,,,,,5.95,low,
10085,2,1,10,,I sing the greatest songs of the man…,Solin 1973 274,3,Carmina aio svmma viri,,house,,Reference,,Aeneid,"Metrical, parody",,,,8.74,low,
10085b,2,1,10,,The phallus of Crescens: hard and gigantic,Solin 1973 269,3,Phallvs dvrvs cr(escentis) vastvs,,house,,Sexual,,,,,,,8.74,low,
1589-1590,5,1,7,,"Aphrodite, mistress   Euche, mistress",Solin 2014,2,,atrium,house,House of the bull,Social,,,,,,,,,"Aphrodite references name, not godess"
1592,5,1,7,,"Genialis, Euche",,2,,atrium,house,House of the bull,Social,,,,,,,,,
4036,5,1,18,,"All fell silent ... if one shakes, she shakes...",,3,,entrance,house,House of the epigrams,Reference,Virgil,"Aeneid 2, 1",Quote + comments,,,,28.65,medium,
4023,5,1,15,,"Felicia, a house born slave, for 2 asses",,3,,entrance,bakery,,Sexual,,,,yes,,,,low,Name of known prostitute
4024,5,1,15,,"Menandner, with a good character, for 2 asses",,2,,entrance,bakery,,Sexual,,,,,,,,low,
4025,5,1,15,,"Successa, a house born slave, 5, with a good character, [...] asses",,3,,entrance,bakery,,Sexual,,,,,,,,low,
4066,5,1,18,,Daphnicus ... here with Felicla,,3,,facade,house,House of the epigrams,Sexual,,,,,,,28.65,medium,
4029,5,1,17,,Here I fucked twice [...],,2,,façade,tabernae,,Sexual,,,,,,,,low,
4091,5,1,26,,"Long live whoever loves! Awar with him, who does not know love! And twice away with whoever forbids love!",Benefiel 2010,3,,peristyle,house,House of Lucius Caeciliis Jucundus,Romantic,,,metrical ,yes,,,46.57,high,found in 12 other locations
4087,5,1,23-26,,Staphylus ... here with Quieta,,2,,peristyle,house,House of Lucius Caeciliis Jucundus,Sexual,,,,,,,46.57,high,
4049,5,1,18,,Room of Rufinus. Greetings.,,2,,peristyle,house,House of the epigrams,Social,,,,,,,28.65,medium,
3407f,5,1,18,,"Even if you devour me up to my roots, still I will bear fruit, enough to poor a libation on you, he-goat, when you will be sacrificed",Biville 2003,3,,room,house,House of the epigrams,Religious,,,,,,,28.65,medium,
4080,5,1,26,,"It is not me, I do not laze about",Kruschwitz/Halla-aho 2007,3,,tablinium,house,House of Lucius Caeciliis Jucundus,Insult,,,,,,,46.57,high,
4078,5,1,26,,And adressing him...,,2,,tablinum,house,House of Lucius Caeciliis Jucundus,Social,,,"Metrical, Homeric",,,,46.57,high,
1237,6,1,6,,"Primigenius [...] Mystes sends greetings to his Communis. 'Have you seen where Turnus went on the seas in arms...' [...] the reward of courage, the victory laurel and the price of glory, the hope and causes of victory",Milnor 2009,3,,entrance,house,House of the Vestals,Reference,Virgil,"Aeneid 9, 269","Petrical, quote [partially truncated]",,,,52.54,high,
1239,6,1,26,,"Hay brought the 18th of October, [...] pounds",,3,,entrance,house,,Civic,,,,,,,52.54,high,
1230,6,1,10,,"Fortunatus will fuck you deep. Come and see, Anthusa!",Varone 2002,3,,kitchen,house,House of the Surgeon,Sexual,,,,,,,26.03,medium,
1228,6,1,6,,Bye Jarinus!,,2,,peristyle,house,House of the Vestals,Social,,,,,,,52.54,high,
1228,6,1,6,,Bye Jarinus!,,2,,peristyle,house,House of the Vestals,Social,,,,,,,52.54,high,
1227,6,1,7,,"We came here desiring, much more [we desire to] leave, to visit our household gods, Rome.",Benefiel 2010a,3,,peristyle,house,House of the Vestals,Religious,,,,metrical [distich],,,52.54,high,possible original variant
2351,7,1,25,,Polycarpus has escaped,,2,,atrium,house,,,,,,,,,15.28,low,
2119,7,1,8,,"In Nuceria I have won 855 and a half (denarii) playing dice, all in good faith.",,3,,entrance,Baths,Stabian Baths,Social,,,,,,,1.69-1.94,low,
807,7,1,44-45,,Accomodation for rent: room with three beds and joint…,,3,,façade,tabernae,Inn of Sittius,Civic,,,,,,,5.98,low,
806,7,1,44-45,,Sittius has restored the elephant,,3,,façade,tabernae,Inn of Sittius,Political,,,,,,"picture of elephant, emblem of buissness",5.98,low,
496,7,1,40,,"A gemstone I would like to be, hour not.",,3,,façade,house,,Social,,,,,,,29.27,medium,
1708,7,1,40,,Victor: cocksucker.,,2,,façade,house,,Insult/Sexual,,,,,,,29.27,medium,
640,7,1,39-40,,"Bye, Aper",,2,,outer wall,,,Social,,,,,,,,high,
1700,7,1,40,,"Syneros tells us … prick, eat shit! Who has written….of a prick",,2,,room,house,,Insult,,,,,,,29.27,medium,
2306,7,1,44,,"Polla, the Campanian woman, asks for Fuscus' tunic.",,2,,shop,tabernae,,Sexual,,,,,,,5.98,low,
2305,7,1,44,,RETOTATOTOTATO,,1,,shop,tabernae,,Social,,,,,,,5.98,low,
1711,7,1,41,,"Marcus Nonius Campanus, soldierof the 9th praetorian cohort, from the centuria of Caesius.",,3,,shop,house,,Tagging/Violence,,,,,,,29.27,medium,
2124,7,1,8-Jan,,(Best wishes) to Nero Caesar Augustus,,3,NEROI CAESARI AGVSTO,,Baths,Stabian Baths,Political/Social,,,,,,,1.69-1.94,low,
2107,7,1,8,,Aegyptus to his Gallus: greetings!,,2,,,Baths,Stabian Baths,Social,,,,,,,1.69-1.94,low,
